suite_id,iv,tail_dir,model_family,contemp_total,contemp_p10,contemp_p05,contemp_p01,lead_total,lead_p10,lead_p05,lead_p01,beta_min,beta_max,beta_abs_max,se_med,n_min,n_max,dir
H11,PRisk,positive,PanelOLS,12,12,12,12,0,0,0,0,0.00010917624687692194,0.00029770185190218593,0.00029770185190218593,1.5483697729168378e-05,65394,77758,h11_prisk_uncertainty
H11-Lag1,PRisk_lag,positive,PanelOLS,12,12,12,12,0,0,0,0,3.718072884430875e-05,0.00017409082055837522,0.00017409082055837522,1.544120450965394e-05,63049,75014,h11_prisk_uncertainty_lag
H11-Lag2,PRisk_lag2,positive,PanelOLS,12,11,11,8,0,0,0,0,1.2971305023221367e-05,0.0001481622407962072,0.0001481622407962072,1.566466835596498e-05,62674,74561,h11_prisk_uncertainty_lag
H12,UncAnsCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.0125763796560022,0.008811852443655625,0.0125763796560022,0.01345389368536101,44624,47651,h12_payout
H12,UncPreCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.012491510071232429,0.031108861435561658,0.031108861435561658,0.013293222859122131,44624,47651,h12_payout
H12,UncAnsMgr,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.008879926387282083,0.03920826058738128,0.03920826058738128,0.017383025970016366,44624,47651,h12_payout
H12,UncPreMgr,negative,PanelOLS,6,3,3,2,6,3,3,2,-0.05287404114638559,-0.0032073682400046047,0.05287404114638559,0.01726578304495115,44624,47651,h12_payout
H12.r,UncAnsCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.009913263401520262,0.01577847890421597,0.01577847890421597,0.010396541612807841,41994,44882,h12_payout_robustness
H12.r,UncAnsNoCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.002178169573421395,0.011457021179627692,0.011457021179627692,0.005726268342490398,41994,44882,h12_payout_robustness
H12.r,UncPreCEO,negative,PanelOLS,6,0,0,0,6,0,0,0,-0.011875259492664603,0.008503253049625526,0.011875259492664603,0.010368049401776363,41994,44882,h12_payout_robustness
H12.r,UncPreNoCEO,negative,PanelOLS,6,3,2,0,6,3,2,1,-0.019906540976704523,-0.002233613606448219,0.019906540976704523,0.007757214088603609,41994,44882,h12_payout_robustness
H12b,UncAnsCEO,negative,LPM,6,0,0,0,6,0,0,0,-0.0006833592450063437,0.00411380759049176,0.00411380759049176,0.003480554618329865,60175,64145,h12b_dividend_payer
H12b,UncPreCEO,negative,LPM,6,0,0,0,6,0,0,0,-0.001975362873772176,0.008288393187725594,0.008288393187725594,0.0031956371747994235,60175,64145,h12b_dividend_payer
H12b,UncAnsMgr,negative,LPM,6,1,0,0,6,0,0,0,-0.006272010412440938,0.00668919153949959,0.00668919153949959,0.004317042331808878,60175,64145,h12b_dividend_payer
H12b,UncPreMgr,negative,LPM,6,3,3,3,6,3,3,2,-0.011293231843657024,-0.0036522090478145557,0.011293231843657024,0.00471277062219026,60175,64145,h12b_dividend_payer
H12b.r,UncAnsCEO,negative,LPM,6,0,0,0,6,0,0,0,-0.0018103575469047039,0.0032594705537229937,0.0032594705537229937,0.0022554681766319175,56535,60224,h12b_dividend_payer_robustness
H12b.r,UncAnsNoCEO,negative,LPM,6,0,0,0,6,0,0,0,-0.00100866696628477,0.0009628906873073161,0.00100866696628477,0.0013600419426937841,56535,60224,h12b_dividend_payer_robustness
H12b.r,UncPreCEO,negative,LPM,6,0,0,0,6,3,0,0,-0.0042484362877122876,0.002484521194603372,0.0042484362877122876,0.0025719139503029456,56535,60224,h12b_dividend_payer_robustness
H12b.r,UncPreNoCEO,negative,LPM,6,3,1,0,6,0,0,0,-0.0026169352996851486,-4.394193780816439e-05,0.0026169352996851486,0.0023696928118566887,56535,60224,h12b_dividend_payer_robustness
H13.1,UncAnsMgr_c,positive,PanelOLS,4,2,2,0,4,2,2,2,-6.812574248209622e-07,0.0017351766207380655,0.0017351766207380655,0.0005703862898684073,69580,73673,h13_1_competition
H13.1,z_log_TotalSimilarity,positive,PanelOLS,4,2,2,2,4,4,4,2,0.0010410817988519962,0.002678771788270055,0.002678771788270055,0.0009682239625044737,69580,73673,h13_1_competition
H13.1,UncAnsMgr_c_x_zlogTSIMM,positive,PanelOLS,4,4,4,0,4,4,4,4,0.001138771112578585,0.0024587635956425107,0.0024587635956425107,0.0008776870591915609,69580,73673,h13_1_competition
H13.1.r,UncAnsCEO_c,positive,PanelOLS,4,3,2,0,4,2,2,0,0.000416322235822776,0.0012596687294629814,0.0012596687294629814,0.00046677519843801277,60094,63716,h13_1_competition_robustness
H13.1.r,z_log_TotalSimilarity,positive,PanelOLS,4,2,2,2,4,4,4,2,0.0010096884913995345,0.0029798183197739573,0.0029798183197739573,0.001103760497098178,60094,63716,h13_1_competition_robustness
H13.1.r,UncAnsCEO_c_x_zlogTSIMM,positive,PanelOLS,4,0,0,0,4,4,3,0,0.0005953616549428383,0.0014539053932233893,0.0014539053932233893,0.0007559877945211534,60094,63716,h13_1_competition_robustness
H13.2,UncAnsCEO,none,PanelOLS,0,0,0,0,16,0,0,0,-0.0012885567244262488,0.0005140395995766276,0.0012885567244262488,0.0008023900913187797,41091,58897,h13_2_capex_leads
H13.2,UncPreCEO,none,PanelOLS,0,0,0,0,16,0,0,0,-0.0016022431195278142,0.00023537849967573884,0.0016022431195278142,0.0008660952621139066,41091,58897,h13_2_capex_leads
H13.2,UncAnsMgr,none,PanelOLS,0,0,0,0,16,10,8,8,9.318383104528153e-05,0.007063320137602509,0.007063320137602509,0.0010145561264530531,41091,58897,h13_2_capex_leads
H13.2,UncPreMgr,none,PanelOLS,0,0,0,0,16,1,0,0,-0.0020330259738037953,0.0022891635649907173,0.0022891635649907173,0.0012178703669393403,41091,58897,h13_2_capex_leads
H13.2.r,UncAnsCEO,none,PanelOLS,0,0,0,0,16,6,6,4,-0.00017537517779804587,0.0031868243352392283,0.0031868243352392283,0.000574261690563836,38613,55299,h13_2_capex_leads_robustness
H13.2.r,UncAnsNoCEO,none,PanelOLS,0,0,0,0,16,6,5,4,-0.00010121188402318626,0.0018999912168096926,0.0018999912168096926,0.00032594599896095975,38613,55299,h13_2_capex_leads_robustness
H13.2.r,UncPreCEO,none,PanelOLS,0,0,0,0,16,0,0,0,-0.0012886344059451168,0.0003271026092119613,0.0012886344059451168,0.000721347204155033,38613,55299,h13_2_capex_leads_robustness
H13.2.r,UncPreNoCEO,none,PanelOLS,0,0,0,0,16,3,1,0,-0.0011007690984184777,0.00106551254892862,0.0011007690984184777,0.000601478460406157,38613,55299,h13_2_capex_leads_robustness
H13.3,UncAnsCEO_c,positive,PanelOLS,4,4,3,2,4,2,2,2,0.000511351198452395,0.0015195055281349548,0.0015195055281349548,0.00046768599884308416,56546,58134,h13_3_capex_constraint
