panel,variable,unit,anchor,n,mean,sd,min,p25,p50,p75,max
A. Independent Variables,ClarityCEO,C,H1.ceo2.decomp,61626,0.2143,0.2129,-0.7717,0.0952,0.2365,0.3629,0.8614
A. Independent Variables,ClarityCEO_QtrExp,C,H1.ceo2.decomp.qtrexp,25520,0.2011,0.2281,-1.0232,0.0713,0.2256,0.3589,0.8694
A. Independent Variables,GEPU_log,C,H24b,88205,4.687237550492872,0.36723262022929676,3.862590847280257,4.3796580049958065,4.723760342391389,4.96657929661077,5.510592233027738
A. Independent Variables,PRisk,C,H11,85995,99.61870321991627,146.5189381393413,0.0,17.077753,53.372898,120.197305,1192.4307959999976
A. Independent Variables,PRisk_lag2,C,H11-Lag2,80627,99.96139731203813,147.2391996244364,0.0,17.170185,53.444593,120.26658,1192.4307959999976
A. Independent Variables,TotalSimilarity,F,H23,22403,3.4277070481631924,5.652235628102901,1.0,1.1246,1.5865,3.0903,80.1876
A. Independent Variables,US_EPU_log,C,H24,88205,4.712320077467963,0.3661117188679523,3.8018230352635434,4.480486346407027,4.689128708370879,4.962532003270315,5.647795990634647
A. Independent Variables,UncPreCEO,C,H1.ceo2.decomp,71727,0.6602043515719876,0.39167942868735917,0.0,0.38095238095238093,0.6000857265323617,0.8722741433021807,2.243216555554226
A. Independent Variables,UncResCEO,C,H1.ceo2.decomp,44900,-0.0,0.301,-1.5108,-0.1846,-0.018,0.165,1.7794
A. Independent Variables,UncResCEO_QtrExp,C,H1.ceo2.decomp.qtrexp,25520,-0.0057,0.3208,-1.6084,-0.2028,-0.021,0.1707,1.7402
A. Independent Variables,Unrated,C,H1.2.ceo2.decomp,79487,0.5159,0.4997,0.0,0.0,1.0,1.0,1.0
B. Dependent Variables,BGTLevel_Spread,C,H14c.ceo2.decomp,87018,0.001719790343843993,0.00259319648435122,0.00012088463238430581,0.00044055486466248935,0.0008899955299493615,0.0017440710157603267,0.01636549626000147
B. Dependent Variables,BGTLevel_Spread_lead1,C,H14c.ceo2.decomp,82843,0.0016071041075140563,0.0024386249406312867,0.00012088463238430581,0.0004274422954291592,0.0008563282691820985,0.0016470095865361515,0.01636549626000147
B. Dependent Variables,CCCL,C,H18.ceo2.decomp,88205,0.003174423218638399,0.056252841094313145,0.0,0.0,0.0,0.0,1.0
B. Dependent Variables,CashRatio,C,H1.ceo2.decomp,87990,0.1707773840349389,0.1805782873601746,0.0,0.03684772732658089,0.10474044236030018,0.24351709344788908,0.9937589510879604
B. Dependent Variables,CashRatio_lead,C,H1.ceo2.decomp,82236,0.17149449790570787,0.17483069213617453,0.0,0.04070901994796184,0.1111945151270051,0.24465262808821092,0.9937589510879604
C. Firm Controls,AbsSurpDec,C,H14c.ceo2.decomp,61544,2.930033796958274,1.4255128633046628,0.0,2.0,3.0,4.0,5.0
C. Firm Controls,Capex,C,H1.ceo2.decomp,87627,0.04870769677995469,0.05355488438055879,0.0,0.01761155036561016,0.032409581963363084,0.05924767203509766,0.5202943270828388
C. Firm Controls,CashFlowAt,C,H1.ceo2.decomp,87670,0.10192702684823646,0.11472349478420314,-3.032429218314047,0.06082598823155992,0.10316995594117416,0.1525840893477421,0.48739584691375326
C. Firm Controls,DailyVola,C,H1.ceo2.decomp,82599,36.755585353107584,21.243721103548516,9.438760003111025,22.97092804942004,31.276168942545812,43.81475373400242,211.9159502615182
C. Firm Controls,DivDummy,C,H1.ceo2.decomp,88134,0.47552590373749065,0.49940349261666384,0.0,0.0,0.0,1.0,1.0
C. Firm Controls,EarnVol,C,H11,87440,0.07007180770608393,0.19072124591661013,0.000600270155179196,0.016345467399124135,0.03145335863813524,0.06945632052416507,19.510147674361107
C. Firm Controls,FirmMat,C,H11,87571,-0.04323278876532515,2.1826195638598533,-317.57142857142856,-0.007793702270111937,0.21914354878852924,0.41952038235950306,0.9252054794520548
C. Firm Controls,Leverage,C,H1.ceo2.decomp,87994,0.23304554989172105,0.22402968942955434,0.0,0.04701570844312084,0.20653253281376407,0.3454542365497485,3.9453025178504326
C. Firm Controls,NegCall,C,H11,86858,0.9209679832948958,0.3023723992624375,0.0,0.7037871910975291,0.8798332947441537,1.094338315817536,2.390121597073538
C. Firm Controls,RDSales,C,H1.ceo2.decomp,87647,0.10472315975941676,0.9342120217920787,0.0,0.0,0.004796816785582874,0.06364332635092759,39.768799212598864
C. Firm Controls,ROA,C,H1.ceo2.decomp,87552,0.03864312214018576,0.13296247062425642,-3.982637115718517,0.01463907117617365,0.05253600277743767,0.09247855000898676,0.5490023740970854
C. Firm Controls,SalesGrowth,C,H1.ceo2.decomp,87506,0.11727686461990408,0.3849460230675568,-1.0,-0.00433077300212453,0.07454854097570927,0.17615698738659585,10.305133333333117
C. Firm Controls,StockPrice,C,H14c.ceo2.decomp,87188,36.886445698261234,32.81191529348088,1.61,14.8975,28.24,48.17,192.03840000000068
C. Firm Controls,TobinsQ,C,H1.ceo2.decomp,87363,2.1363002346448474,1.5197391664215611,0.3847360135959342,1.2680813860733848,1.6791370381662714,2.4361949477378286,35.61444380925542
C. Firm Controls,Turnover,C,H14c.ceo2.decomp,87188,0.026021993996714534,0.02988304264187947,0.0007492676929687301,0.008301434579758082,0.015954850952387648,0.03103511583105776,0.16974768140523677
C. Firm Controls,UncQue,C,H11,81031,1.4398411526911643,0.4831432076361588,0.0,1.12163113378895,1.4107883817427387,1.726844583987441,3.5944615384615384
C. Firm Controls,lnAssets,C,H1.ceo2.decomp,87994,7.470971428031775,1.6607466386651457,-0.5691612007789542,6.3008078127694676,7.376329136552975,8.543594830591964,12.459237028256341
C. Firm Controls,sCFO,C,H1.ceo2.decomp,83662,0.0619153174006642,0.22330220954006177,0.0013994885784999664,0.023612045041250196,0.03946104152530132,0.0664003142549671,32.403494941212024
