"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","query","id","type"
"Feverish Stock Price Reactions to COVID-19*","Stefano Ramelli; Alexander F. Wagner","2020","The Review of Corporate Finance Studies","1225","True","https://academic.oup.com/rcfs/article-pdf/9/3/622/33880074/cfaa012.pdf","https://doi.org/10.1093/rcfs/cfaa012","Market reactions to the 2019 novel coronavirus disease (COVID-19) provide new insights into how real shocks and financial policies drive firm value. Initially, internationally oriented firms, especially those more exposed to trade with China, underperformed. As the virus spread to Europe and the United States, corporate debt and cash holdings emerged as important value drivers, relevant even after the Fed intervened in the bond market. The content and tone of conference calls mirror this development over time. Overall, the results illustrate how anticipated real effects from the health crisis, a rare disaster, were amplified through financial channels.","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W3122263577","article"
"Firm‐Level Climate Change Exposure","Zacharias Sautner; Laurence van Lent; Grigory Vilkov; RUISHEN ZHANG","2023","The Journal of Finance","1090","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jofi.13219","https://doi.org/10.1111/jofi.13219","ABSTRACT We develop a method that identifies the attention paid by earnings call participants to firms' climate change exposures. The method adapts a machine learning keyword discovery algorithm and captures exposures related to opportunity, physical, and regulatory shocks associated with climate change. The measures are available for more than 10,000 firms from 34 countries between 2002 and 2020. We show that the measures are useful in predicting important real outcomes related to the net‐zero transition, in particular, job creation in disruptive green technologies and green patenting, and that they contain information that is priced in options and equity markets.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W4322624932","article"
"Resiliency of Environmental and Social Stocks: An Analysis of the Exogenous COVID-19 Market Crash","Rui Albuquerque; Yrjö Koskinen; Shuai Yang; Chendi Zhang","2020","The Review of Corporate Finance Studies","1071","True","https://academic.oup.com/rcfs/article-pdf/9/3/593/33880102/cfaa011.pdf","https://doi.org/10.1093/rcfs/cfaa011","The COVID-19 pandemic and the subsequent lockdown brought about an exogenous and unparalleled stock market crash. The crisis thus provides a unique opportunity to test theories of environmental and social (ES) policies. This paper shows that stocks with higher ES ratings have significantly higher returns, lower return volatility, and higher operating profit margins during the first quarter of 2020. ES firms with higher advertising expenditures experience higher stock returns, and stocks held by more ES-oriented investors experience less return volatility during the crash. This paper highlights the importance of customer and investor loyalty to the resiliency of ES stocks.","trump 2016 ""cash holdings"" DiD","https://openalex.org/W3021084400","article"
"How Valuable Is Financial Flexibility when Revenue Stops? Evidence from the COVID-19 Crisis","Rüdiger Fahlenbrach; Kevin Rageth; René M. Stulz","2020","Review of Financial Studies","472","True","https://academic.oup.com/rfs/article-pdf/34/11/5474/40724144/hhaa134.pdf","https://doi.org/10.1093/rfs/hhaa134","Abstract Firms with greater financial flexibility should be better able to fund a revenue shortfall resulting from the COVID-19 shock and benefit less from policy responses. We find that firms with high financial flexibility within an industry experience a stock price drop that is 26$\%$, or 9.7 percentage points, lower than those with low financial flexibility. This differential return persists as stock prices rebound. Firms more exposed to the COVID-19 shock benefit more from cash holdings. No evidence suggests that recent payouts worsened the average firm’s drop in stock price. Our results cannot be explained by a leverage effect.","Hassan Hollander ""cash holdings""","https://openalex.org/W3125266783","article"
"Do ESG strategies enhance bank stability during financial turmoil? Evidence from Europe","Laura Chiaramonte; Alberto Dreassi; Claudia Girardone; Stefano Piserà","2021","European Journal of Finance","353","True","https://www.tandfonline.com/doi/pdf/10.1080/1351847X.2021.1964556?needAccess=true","https://doi.org/10.1080/1351847x.2021.1964556","This paper investigates the joint and separate effects of Environmental (E), Social (S), and Governance (G) scores on bank stability. Using a sample of European banks operating in 21 countries over 2005-2017, we find that the total ESG score, as well as its sub-pillars, reduces bank fragility during periods of financial distress. This stabilizing effect holds strongly for banks with higher ESG ratings. These results are confirmed by a differences-in-differences (DID) analysis built around the introduction of the EU 2014 Non-Financial Reporting Directive (NFRD). Our evidence also reveals that, in times of financial turmoil, the longer the duration of ESG disclosures, the greater the benefits on stability. Finally, we show that the ESG-bank stability linkages vary significantly across banks' characteristics and operating environments. Our findings are robust to selection bias and endogeneity concerns. Overall, they support the regulatory effort in requiring an enhanced disclosure of non-financial information.","Hassan Hollander ""cash holdings""","https://openalex.org/W3200548867","article"
"Investor rewards to environmental responsibility: Evidence from the COVID-19 crisis","Alexandre Garel; Arthur Petit-Romec","2021","Journal of Corporate Finance","289","True","https://www.sciencedirect.com/science/article/am/pii/S0929119921000699?via%3Dihub","https://doi.org/10.1016/j.jcorpfin.2021.101948","","trump 2016 election ""cash holdings"" difference-in-differences","https://openalex.org/W3156650419","article"
"Institutional investors' horizons and corporate employment decisions","Mohamed Ghaly; Viet Anh Dang; Konstantinos Stathopoulos","2020","Journal of Corporate Finance","240","True","https://research.manchester.ac.uk/en/publications/7eeb397a-54b5-4360-9385-110c83b91972","https://doi.org/10.1016/j.jcorpfin.2020.101634","","""firm-level political risk"" ""cash holdings""","https://openalex.org/W3123632618","article"
"Is the US Public Corporation in Trouble?","Kathleen M. Kahle; René M. Stulz","2017","The Journal of Economic Perspectives","232","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.31.3.67","https://doi.org/10.1257/jep.31.3.67","We examine the current state of the US public corporation and how it has evolved over the last 40 years. After falling by 50 percent since its peak in 1997, the number of public corporations is now smaller than 40 years ago. These corporations are now much larger and over the last twenty years have become much older; they invest differently, as the average firm invests more in R&amp;D than it spends on capital expenditures; and compared to the 1990s, the ratio of investment to assets is lower, especially for large firms. Public firms have record high cash holdings and, in most recent years, the average firm has more cash than long-term debt. Measuring profitability by the ratio of earnings to assets, the average firm is less profitable, but that is driven by smaller firms. Earnings of public firms have become more concentrated—the top 200 firms in profits earn as much as all public firms combined. Firms' total payouts to shareholders as a percent of earnings are at record levels. Possible explanations for the current state of the public corporation include a decrease in the net benefits of being a public company, changes in financial intermediation, technological change, globalization, and consolidation through mergers.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W3122910304","article"
"The pandemic and economic policy uncertainty","Saud Asaad Althaqeb; Barrak Ghanim Algharabali; Khaled Tareq Alabdulghafour","2020","International Journal of Finance & Economics","220","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.2298","https://doi.org/10.1002/ijfe.2298","Abstract The events that occurred after the worldwide diffusion of COVID‐19 provide a real‐life example of how uncertainty can severely affect the global economy. This paper reviews literature on the negative impacts of the economic policy uncertainty index (EPU) on individuals, businesses, governments, and economies at the local and international levels. This reveals that a high EPU is associated with adverse effects on households, corporations, and governments, which tend to delay many financial decisions under high uncertainty, which leads to lower consumption, fewer issuances of debt, fewer investments, and higher unemployment. The effects of political and regulatory uncertainty also extend to the commodity markets, such as the adverse effects on both oil and gasoline markets, and can potentially create adverse impacts on the crypto‐currency market and its potential growth. We demonstrate that governmental uncertainty also affects financial, housing, and equity markets; debt issuances; and the entire economy. This underscores the importance of considering EPU as a risk factor. The association with several components of the global economy reflects not only the EPU index's critical influence, but also the importance of risk management. Our results lead us to consider the gravity of economic policy uncertainty and call for innovation across different sectors to mitigate its adverse effects.","""firm-level political risk"" ""cash holdings""","https://openalex.org/W3092265333","article"
"A First Look at the Impact of COVID-19 on Commercial Real Estate Prices: Asset-Level Evidence","David C. Ling; Chongyu Wang; Tingyu Zhou","2020","The Review of Asset Pricing Studies","203","True","https://academic.oup.com/raps/article-pdf/10/4/669/34416863/raaa014.pdf","https://doi.org/10.1093/rapstu/raaa014","Abstract This is the first paper to examine how the COVID-19 shock transmitted from the asset markets to capital markets. Using a novel measure of the exposure of commercial real estate (CRE) portfolios to the increase in the number of COVID-19 cases (GeoCOVID), we find a one-standard-deviation increase in GeoCOVID on day t-1 is associated with a 0.24 to 0.93 percentage points decrease in abnormal returns over 1- to 3-day windows. There is substantial variation across property types. Local and state policy interventions helped to moderate the negative return impact of GeoCOVID. However, there is little evidence that reopenings affected the performance of CRE markets.","Hassan Hollander ""cash holdings""","https://openalex.org/W3035323560","article"
