"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","source","id","type"
"Feverish Stock Price Reactions to COVID-19*","Stefano Ramelli; Alexander F. Wagner","2020","The Review of Corporate Finance Studies","1225","True","https://academic.oup.com/rcfs/article-pdf/9/3/622/33880074/cfaa012.pdf","https://doi.org/10.1093/rcfs/cfaa012","Market reactions to the 2019 novel coronavirus disease (COVID-19) provide new insights into how real shocks and financial policies drive firm value. Initially, internationally oriented firms, especially those more exposed to trade with China, underperformed. As the virus spread to Europe and the United States, corporate debt and cash holdings emerged as important value drivers, relevant even after the Fed intervened in the bond market. The content and tone of conference calls mirror this development over time. Overall, the results illustrate how anticipated real effects from the health crisis, a rare disaster, were amplified through financial channels.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3122263577","article"
"Real Effects of the Sovereign Debt Crisis in Europe: Evidence from Syndicated Loans","Viral V. Acharya; Tim Eisert; Christian Eufinger; Christian Hirsch","2018","Review of Financial Studies","366","True","https://pure.eur.nl/ws/files/47878588/RePub-111941.pdf","https://doi.org/10.1093/rfs/hhy045","We explore the causes of the credit crunch during the European sovereign debt crisis and its impact on the corporate policies of European firms. Our results show that value impairment in banks’ exposures to sovereign debt and the risk-shifting behavior of weakly capitalized banks reduced the probability of firms being granted new syndicated loans by up to 53%. This lending contraction depressed investment, employment, and sales growth of firms affiliated with affected banks. Our estimates based on firm-level data suggest that the credit crunch explains between 44% and 66% of the overall negative real effects suffered by European firms. Received April 5, 2016; editorial decision February 3, 2018 by Editor Andrew Karolyi. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3123541727","article"
"Cash Holdings and Labor Heterogeneity: The Role of Skilled Labor","Mohamed Ghaly; Viet Anh Dang; Konstantinos Stathopoulos","2017","Review of Financial Studies","264","True","https://www.research.manchester.ac.uk/portal/en/publications/cash-holdings-and-labor-heterogeneity-the-role-of-skilled-labor(ddd146f6-d853-429c-9601-d49b6601fee0).html","https://doi.org/10.1093/rfs/hhx045","Firms differ in their dependence on skilled labor and face labor adjustment costs that increase with their workers’ skill level. We show that firms with a higher share of skilled workers, and thus less flexibility to adjust their labor demand in response to cash flow shocks, hold more precautionary cash. The effect of labor skills on cash holdings is more pronounced for financially constrained firms and varies with exogenous differences in firing and hiring costs. We address endogeneity concerns by using subsamples of firms with reasonably similar characteristics, propensity score matching, and a quasi-experimental shock to labor markets. Received March 21, 2014; editorial decision February 21, 2017 by Editor David Denis.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2593705280","article"
"Credit default swaps and corporate innovation","Xin Chang; Yangyang Chen; Sarah Qian Wang; Kuo Zhang; Le Zhang","2019","Journal of Financial Economics","249","True","https://dr.ntu.edu.sg/bitstream/10356/143478/2/CDSInnovation_JFE_final.pdf","https://doi.org/10.1016/j.jfineco.2017.12.012","","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2604705349","article"
"The pandemic and economic policy uncertainty","Saud Asaad Althaqeb; Barrak Ghanim Algharabali; Khaled Tareq Alabdulghafour","2020","International Journal of Finance & Economics","220","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.2298","https://doi.org/10.1002/ijfe.2298","Abstract The events that occurred after the worldwide diffusion of COVID‐19 provide a real‐life example of how uncertainty can severely affect the global economy. This paper reviews literature on the negative impacts of the economic policy uncertainty index (EPU) on individuals, businesses, governments, and economies at the local and international levels. This reveals that a high EPU is associated with adverse effects on households, corporations, and governments, which tend to delay many financial decisions under high uncertainty, which leads to lower consumption, fewer issuances of debt, fewer investments, and higher unemployment. The effects of political and regulatory uncertainty also extend to the commodity markets, such as the adverse effects on both oil and gasoline markets, and can potentially create adverse impacts on the crypto‐currency market and its potential growth. We demonstrate that governmental uncertainty also affects financial, housing, and equity markets; debt issuances; and the entire economy. This underscores the importance of considering EPU as a risk factor. The association with several components of the global economy reflects not only the EPU index's critical influence, but also the importance of risk management. Our results lead us to consider the gravity of economic policy uncertainty and call for innovation across different sectors to mitigate its adverse effects.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3092265333","article"
"A New Era of Pollution Progress in Urban China?","Siqi Zheng; Matthew E. Kahn","2017","The Journal of Economic Perspectives","204","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.31.1.71","https://doi.org/10.1257/jep.31.1.71","Over the last 30 years, China's economy has boomed. This trend has lifted hundreds of millions of Chinese out of poverty but it has also sharply increased local, regional, and global pollution levels. We look at the rise in air pollution over recent decades, and the perhaps surprising finding that in many of China's urban areas, levels of particulates (of less than 10 microns) have been decreasing during the last 10 to 15 years. We then turn to the costs and tradeoffs of air pollution, including costs to human health, reductions in worker productivity, and how people are seeking to reduce their exposure to pollution as shown by compensating differentials in real estate prices and purchases of masks and air filters. We discuss how rising incomes tend to raise the demand for environmental amenities and thus increase political pressure for environmental protection, and then we turn to the policy tools that China has used to reduce pollution. We conclude by arguing that as China's government is preparing for an additional 300 million people to move to urban areas over the next 30 years, it will have a number of opportunities for China to reduce pollution through a shift from manufacturing to services, along with various steps to improve energy efficiency and resource conservation. Overall, it seems that China is on track to improve its environmental performance in the years ahead.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W2580719731","article"
"A bibliometric analysis of cash holdings literature: current status, development, and agenda for future research","Saleh F. A. Khatib; Dewi Fariha Abdullah; Ernie Hendrawaty; Ahmed A. Elamer","2021","Management Review Quarterly","139","True","https://link.springer.com/content/pdf/10.1007/s11301-021-00213-0.pdf","https://doi.org/10.1007/s11301-021-00213-0","Abstract Despite the growing interest in exploring the cash holding aspects among scholars, systematic reviews and comprehensive evaluation in this area has been limited. Also, there is only a fragmented understanding about how the cash holdings concept is formed among researchers and experts. We fill this gap in the literature by identifying and evaluating the research development of cash holdings topic. Using 874 articles from the Scopus database that were published between 1947 and early 2020, bibliometric and content analyses were employed to assess the patterns of global cash holdings research. We find that previous studies have substantially enriched our knowledge of the antecedents and consequences of cash holdings. Yet, there are still several opportunities to make significant contributions in this area. The contribution of this research is to provide a comprehensive evaluation of the development of cash holdings research (using a sizeable archival database). It identifies the current joint development and potential opportunities for future work directions on cash holdings association with payout policy, corporate social responsibility, and corporate governance. Our results are likely to be of interest to academics, practitioners, and educators in related business and finance fields.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3133961462","article"
"How Did Depositors Respond to COVID-19?","Ross Levine; Chen Lin; Mingzhu Tai; Wensi Xie","2021","Review of Financial Studies","108","True","https://academic.oup.com/rfs/article-pdf/34/11/5438/40724138/hhab062.pdf","https://doi.org/10.1093/rfs/hhab062","Abstract Why did banks experience massive deposit inflows during the pandemic? We discover that deposit interest rates at bank branches in counties with higher COVID-19 infection rates fell by more than rates at branches—even branches of the same bank—in counties with lower infection rates. Credit drawdowns, national policies, such as the Payment Protection Program, and a flight-to-safety do not account for these cross-branch changes in deposit rates. Evidence suggests that higher local COVID-19 infection rates are associated with households’ greater anxiety about future job and income losses, anxiety that induces households to reduce spending and increase deposits.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4206686905","article"
"Competitive pressure and firm investment efficiency: Evidence from corporate employment decisions","Sabri Boubaker; Viet Anh Dang; Syrine Sassi","2021","European Financial Management","95","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/eufm.12335","https://doi.org/10.1111/eufm.12335","Abstract This study examines the link between product market competition and labour investment efficiency. We find that competitive pressure distorts the efficiency of corporate employment decisions by creating an underinvestment problem. This finding withstands a battery of robustness checks and remains unchanged after accounting for endogeneity concerns. Additional analysis shows that the relationship between product market competition and labour investment efficiency is stronger for firms facing higher competitive threats, greater financial constraints, higher information asymmetry and higher labour adjustment costs. Our results suggest that as competition increases bankruptcy risk, it leads managers to underinvest in labour to avoid incurring labour‐related costs.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W3152850303","article"
"Director Expertise and Corporate Sustainability","Peter Iliev; Lukas Roth","2023","European Finance Review","74","True","https://academic.oup.com/rof/advance-article-pdf/doi/10.1093/rof/rfad012/49871458/rfad012.pdf","https://doi.org/10.1093/rof/rfad012","Abstract We show that US firms increase their sustainability performance when their directors acquire expertise through their exposure to sustainability reforms in foreign countries where they serve as directors. Our results suggest that a board that gains sustainability expertise increases a firm’s overall sustainability performance by 7.1%. The increase in sustainability comes both from improvements in environmental and social practices. Directors also consider the tradeoffs between sustainability improvements and firm characteristics, with boards having a stronger impact on sustainability in firms from clean industries and firms that face fewer operational and financial constraints.","query: ""cash holdings"" ""natural experiment"" precautionary firm","https://openalex.org/W4362591222","article"
